NOMEDEP;DE;MUN;DISTR;CODESC;NOMESC;TIPOESC;TIPOESC_DESC;CODSIT;CODESC;SALAS_AULA;SALAS_ED_INF;SALAS_ED_ESP;SALAS_ED_ART;SALA_RECURSO;TOT_SALAS_AULA;AUDITORIO;ANFITEATRO;TEATRO;CANTINA;COPA;COZINHA;REFEITORIO;DEPOSITO_ALIMENTOS;DESPENSA;TOT_DESPENSA;SALA_LEITURA;BIBLIOTECA;TOT_SALA_LEITURA;QUADRA_COBERTA;QUADRA_DESCOBERTA;GINASIO;TOT_QUADRA;QUADRA_AREIA;QUADRA_GRAMA;CAMPO_FUTEBOL;GABINETE_DENTARIO;CONSULTORIO_MEDICO;ENFERMARIA;AMBULATORIO;ALMOXARIFADO;ARQUIVO;REPROGRAFIA;SALA_GREMIO;DIRETORIA;VICEDIRETORIA;SALA_PROF;SECRETARIA;SALA_ORIENT_ED;SALA_COORD_PEDAG;PATIO_COBERTO;PATIO_DESCOBERTO;ZELADORIA;VESTIARIO_FEM;VESTIARIO_MASC;TOT_VESTIARIO;VIDEOTECA;SALA_TV;LAB_INFO;LAB_CIENCIAS;LAB_FISICA;LAB_QUIMICA;LAB_BIOLOGIA;LAB_CIENCIA_FISICA_BIOLOGICA;TOT_LAB_CIENCIA;LAB_LINGUAS;LAB_MULTIUSO;OFICINA;PLAYGROUND;DORMITORIO;BERCARIO;SANITARIO_ADEQ_PRE;SANITARIO_ADEQ_PRE_FEM;SANITARIO_ADEQ_PRE_MASC;SANITARIO_ADEQ_DEF;SANITARIO_ADEQ_DEF_FEM;SANITARIO_ADEQ_DEF_MASC;SANITARIO_AL_MASC;SANITARIO_AL_FEM;TOT_SANITARIO_AL;SANITARIO_FUNC_FEM;SANITARIO_FUNC_MASC;TOT_SANITARIO_FUNC;DEPEND_ADEQ_DEF;SALA_ED_FISICA;PISCINA;PORTARIA;SALA_PROG_ESC_FAMILIA;BRINQUEDOTECA;FRALDARIO;LACTARIO;LAVANDERIA;SOLARIO;SALA_ESPERA;SALA_INSPETOR;SALA_REUNIAO;TESOURARIA;SALA_REFORCO;SALA_DIRETOR_TECNICO;GARAGEM_ONIBUS;SALA_FISIOTERAPIA;SALA_PSICOLOGIA;SALA_FONOAUDIOLOGIA;SALA_EVENTOS;SALA_ASSIST_SOCIAL;SALA_TERAPIA_EDUC;ABATEDOURO;ALOJAMENTO_FEM;ALOJAMENTO_MASC;TOT_ALOJAMENTO;AREA_SERVICO;BAZAR;CASA_MAQUINA;CASA_FUNC;CHURRASQUEIRA;DEPOSITOS_CEREAIS;ELEVADOR;ESTACIONAMENTO;ESTUFA;GALPAO_AVES_CORTE;GALPAO_AVES_POSTURA;GALPAO_BOVINOS_LEITE;GALPAO_CUNICULTURA;GALPAO_MAQ_AGRICOLA;GALPAO_OVINOS_CAPRINOS;GALPAO_SUINO;GRAFICA;HORTA;LAB_DIDATICA;LAB_JUNIOR;LAB_ENFERMAGEM;LAB_ESTETICA;LAB_PSICOPEDAGOGIA;LAB_TURISMO;LAVATORIO;MANGUEIRA;MINHOCARIO;PACKING_HOUSE;POMAR;PSICULTURA;RECEPCAO;SALA_ATENDIMENTO;SALA_ATEND_PSICOLOGICO;SALA_AUX_COORDENACAO;SALA_DADOS;SALA_DEP_PESSOAL;SALA_ED_RELIGIOSA;SALA_ENERGIA_ELETRICA;SALA_ENTRETENIMENTO;SALA_ESTAGIO;SALA_GINASTICA;SALA_INSUMO_AGRICOLA;SALA_INSUMO_VETERINARIO;SALA_MARKETING;SALA_MATRICULA;SALA_MUSICA;SALA_POS_GRADUACAO;SALA_ORDENHA;SALA_PROC_PROD_AGROPECUARIOS;SALA_SEGURANCA;SALA_TELEFONIA;SALA_FINANCEIRO;SALA_PASTORAL;SALA_RESERV_AGUA;SERVIDOR;SILO;VARANDA;VIVEIRO;SALA_REORG_NEURO;SALA_TERAPIA_OCUP;SALA_SERIGRAFIA;SALA_MARCENARIA;QUIOSQUE
ESTADUAL - SE;ADAMANTINA;FLORIDA PAULISTA;FLORIDA PAULISTA;30910;PERCIO GOMES GONZALES DR;8;EE;1;30910;15;0;0;0;2;17;0;0;0;1;1;1;1;1;1;2;1;0;1;1;1;0;2;0;0;0;0;0;0;0;3;2;0;1;1;3;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;2;2;4;3;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;INUBIA PAULISTA;INUBIA PAULISTA;31598;IRALDO ANTONIO MARTINS DE TOLEDO;8;EE;1;31598;11;0;0;0;2;13;0;0;0;0;1;1;0;1;1;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;IRAPURU;448370;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLES IRAPURU I  CI;34;FEBEM - UI (CASA À PARTIR DE 2007);1;448370;5;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;IRAPURU;354569;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU I CIP;9;FEBEM - UIP (CASA À PARTIR DE 2007);1;354569;4;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;IRAPURU;354570;CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU II CI;34;FEBEM - UI (CASA À PARTIR DE 2007);1;354570;5;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;IRAPURU;30958;JOSE EDSON MOYSES PROF;8;EE;1;30958;15;0;0;0;0;15;0;0;0;0;1;1;1;1;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;2;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;2;4;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;IRAPURU;IRAPURU;455064;PENITENCIARIA DE IRAPURU;15;CLASSE PENITENCIÁRIA;1;455064;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;31306;GERALDO PECORARI PROF;8;EE;1;31306;8;0;0;0;1;9;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;31525;IDENE RODRIGUES DOS SANTOS PROF;8;EE;1;31525;22;0;0;0;1;23;1;0;0;1;1;1;1;1;1;2;1;0;1;1;1;0;2;0;0;0;0;0;0;0;0;2;0;0;1;2;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;4;1;1;2;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;454345;PENITENCIARIA DE JUNQUEIROPOLIS;15;CLASSE PENITENCIÁRIA;1;454345;8;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
